"47","0","7131","193186","kathā","33,51,74,78,89"
"47","0","7131","193187","aba","83"
"47","0","7131","193188","gāvauṃ","1,60,74,80,90"
"47","0","7131","193189","au","102"
"47","0","7131","193190","so","3,74,79"
"47","0","7131","193191","padumini","33,74,78"
"47","0","7131","193192","barani","80"
"47","0","7131","193193","sunāvauṃ","1,60,74,80,90"
"47","1","7132","193198","bhāṁti","33,74,78"
"47","1","7132","193199","bisekhā","82"
"47","1","7132","193200","jehiṃ","46,79"
"47","1","7132","193201","jasa","51,79"
"47","1","7132","193202","rūpa","47,51,74,78"
"47","1","7132","193203","so","79"
"47","1","7132","193204","taisei","83"
"47","1","7132","193205","dekhā","47,57,74,80"
"47","2","7133","193208","dhani","47,51,74,82"
"47","2","7133","193209","so","79"
"47","2","7133","193210","dīpa","47,51,74,78"
"47","2","7133","193211","jahaṁ","79"
"47","2","7133","193212","dīpaka","78"
"47","2","7133","193213","nārī","33,51,74,78"
"47","2","7133","193214","au","47,51,74,79"
"47","2","7133","193215","so","79"
"47","2","7133","193216","padumini","33,74,78,89,96"
"47","2","7133","193217","daiaṁ","47,52,74,78"
"47","2","7133","193218","avatārī","47,51,74,78"
"47","3","7134","193222","dīpa","47,51,55,78,89,96,97"
"47","3","7134","193223","baranahiṃ","3,55,64,80"
"47","3","7134","193224","saba","82"
"47","3","7134","193225","logū","47,51,55"
"47","3","7134","193227","dīpa","47,51,74,78"
"47","3","7134","193228","na","49,103"
"47","3","7134","193229","ohi","36,74,79"
"47","3","7134","193230","sari","33,51,74,78"
"47","3","7134","193231","jogū","82"
"47","4","7135","193235","dīpa","47,51,74,78"
"47","4","7135","193237","tasa","47,74,82"
"47","4","7135","193238","ujiārā","47,51,74,82"
"47","4","7135","193240","dīpa","47,51,74,78"
"47","4","7135","193241","sari","33,51,74,78"
"47","4","7135","193242","hoi","80"
"47","4","7135","193243","na","49,103"
"47","4","7135","193244","pārā","3,60,74,80"
"47","5","7136","193248","dīpa","47,51,74,78"
"47","5","7136","193249","kahauṃ","1,60,74"
"47","5","7136","193250","tasa","47,74,82"
"47","5","7136","193252","pūja","33,74,78"
"47","5","7136","193253","na","49,103"
"47","5","7136","193255","dīpa","47,51,74,78"
"47","5","7136","193256","parichāhīṃ","33,51,74,78"
"47","6","7137","193259","dīpa","47,51,74,78"
"47","6","7137","193261","ārana","47,51,74,78"
"47","6","7137","193262","parā","3,60,74,80"
"47","6","7137","193263","dīpa","47,51,74,78"
"47","6","7137","193264","mahusthala","82"
"47","6","7137","193265","mānusa","47,74,78"
"47","6","7137","193266","harā","82"
"47","7","7138","193269","saba","82"
"47","7","7138","193272","āe","3,47,55,64,80,90"
"47","7","7138","193274","dīpa","47,51,74,78"
"47","7","7138","193276","dīpa","47,51,74,78"
"47","7","7138","193277","na","49,103"
